exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
MSK,Knee,Range of Motion,Flexion,MSK Knee ROM,Flex knees,Observe knee flexion,Set up or position the patient: Flex knees. Perform the maneuver: Observe knee flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens knee flexion ROM,Knee flexion ROM,Full / Limited by pain / Limited / Unable,Knee pain; MSK exam,msk_knee_range_of_motion_flexion
MSK,Knee,Range of Motion,Extension,MSK Knee ROM,Extend knees,Observe knee extension,Set up or position the patient: Extend knees. Perform the maneuver: Observe knee extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens knee extension ROM,Knee extension ROM,Full / Limited by pain / Limited / Unable,Knee pain; MSK exam,msk_knee_range_of_motion_extension
MSK,Ankle,Inspection,Inspect ankles,MSK Ankle,Expose ankles,Inspect ankles,"Set up or position the patient: Expose ankles. Perform the maneuver: Inspect ankles. Assess and document: Swelling, deformity, erythema.","Swelling, deformity, erythema",Screens ankle appearance,Ankle inspection,Normal / Swelling / Deformity / Erythema,Ankle pain; trauma,msk_ankle_inspection_inspect_ankles
MSK,Ankle,Palpation,Palpate ankles,MSK Ankle,Relax ankles,Palpate fully around ankle on skin,"Set up or position the patient: Relax ankles. Perform the maneuver: Palpate fully around ankle on skin. Assess and document: Tenderness, warmth, swelling.","Tenderness, warmth, swelling",Screens ankle tenderness,Ankle palpation,Nontender / Tender / Warm / Swollen,Ankle pain; trauma,msk_ankle_palpation_palpate_ankles
MSK,Ankle,Range of Motion,Dorsiflexion,MSK Ankle ROM,Move foot toward ceiling,Move foot manually if needed,Set up or position the patient: Move foot toward ceiling. Perform the maneuver: Move foot manually if needed. Assess and document: Limited motion or pain.,Limited motion or pain,Screens ankle dorsiflexion ROM,Ankle dorsiflexion ROM,Full / Limited by pain / Limited / Unable,Ankle pain; MSK exam,msk_ankle_range_of_motion_dorsiflexion
MSK,Ankle,Range of Motion,Plantarflexion,MSK Ankle ROM,Move foot toward floor,Move foot manually if needed,Set up or position the patient: Move foot toward floor. Perform the maneuver: Move foot manually if needed. Assess and document: Limited motion or pain.,Limited motion or pain,Screens ankle plantarflexion ROM,Ankle plantarflexion ROM,Full / Limited by pain / Limited / Unable,Ankle pain; MSK exam,msk_ankle_range_of_motion_plantarflexion
MSK,Ankle,Range of Motion,Inversion,MSK Ankle ROM,Relax foot,"Stabilize above ankle, grasp heel, invert medially bilaterally","Set up or position the patient: Relax foot. Perform the maneuver: Stabilize above ankle, grasp heel, invert medially bilaterally. Assess and document: Limited motion or pain.",Limited motion or pain,Screens ankle inversion ROM,Ankle inversion,Full / Limited by pain / Limited / Unable,Ankle pain; sprain,msk_ankle_range_of_motion_inversion
MSK,Ankle,Range of Motion,Eversion,MSK Ankle ROM,Relax foot,"Stabilize above ankle, grasp heel, evert laterally bilaterally","Set up or position the patient: Relax foot. Perform the maneuver: Stabilize above ankle, grasp heel, evert laterally bilaterally. Assess and document: Limited motion or pain.",Limited motion or pain,Screens ankle eversion ROM,Ankle eversion,Full / Limited by pain / Limited / Unable,Ankle pain; sprain,msk_ankle_range_of_motion_eversion
MSK,Foot,Inspection,Inspect feet,MSK Foot,Expose dorsal and plantar surfaces,Inspect feet,"Set up or position the patient: Expose dorsal and plantar surfaces. Perform the maneuver: Inspect feet. Assess and document: Ulcer, deformity, swelling, erythema.","Ulcer, deformity, swelling, erythema",Screens foot appearance,Foot inspection,Normal / Ulcer / Deformity / Swelling / Erythema,Diabetes; foot pain; vascular disease,msk_foot_inspection_inspect_feet
MSK,Foot,Palpation,MTP squeeze test,MSK Foot,Relax foot,Compress medial and lateral forefoot at MTPs,Set up or position the patient: Relax foot. Perform the maneuver: Compress medial and lateral forefoot at MTPs. Assess and document: Forefoot/MTP pain.,Forefoot/MTP pain,Screens MTP tenderness/inflammation,MTP squeeze,Negative / Positive right / Positive left / Bilateral,Forefoot pain; inflammatory arthritis,msk_foot_palpation_mtp_squeeze_test
MSK,Foot,Range of Motion,Toe motion,MSK Foot ROM,Move toes up and down,Observe toe flexion/extension,Set up or position the patient: Move toes up and down. Perform the maneuver: Observe toe flexion/extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens toe ROM,Toe range of motion,Full / Limited / Unable,Foot pain; neuro/MSK exam,msk_foot_range_of_motion_toe_motion
MSK,Foot,Range of Motion,Forefoot inversion,MSK Foot ROM,Relax foot,Stabilize heel; invert forefoot medially,Set up or position the patient: Relax foot. Perform the maneuver: Stabilize heel; invert forefoot medially. Assess and document: Limited motion or pain.,Limited motion or pain,Screens forefoot inversion,Forefoot inversion,Full / Limited by pain / Limited / Unable,Foot pain; MSK exam,msk_foot_range_of_motion_forefoot_inversion
MSK,Foot,Range of Motion,Forefoot eversion,MSK Foot ROM,Relax foot,Stabilize heel; evert forefoot laterally,Set up or position the patient: Relax foot. Perform the maneuver: Stabilize heel; evert forefoot laterally. Assess and document: Limited motion or pain.,Limited motion or pain,Screens forefoot eversion,Forefoot eversion,Full / Limited by pain / Limited / Unable,Foot pain; MSK exam,msk_foot_range_of_motion_forefoot_eversion
MSK,Foot,Range of Motion,Toe flexion,MSK Foot ROM,Flex toes toward floor,Observe toe flexion,Set up or position the patient: Flex toes toward floor. Perform the maneuver: Observe toe flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens toe flexion,Toe flexion,Full / Limited / Unable,Foot pain; neuro/MSK exam,msk_foot_range_of_motion_toe_flexion
MSK,Foot,Range of Motion,Toe extension,MSK Foot ROM,Extend toes toward ceiling,Observe toe extension,Set up or position the patient: Extend toes toward ceiling. Perform the maneuver: Observe toe extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens toe extension,Toe extension,Full / Limited / Unable,Foot pain; neuro/MSK exam,msk_foot_range_of_motion_toe_extension
MSK,Spine,Cervical spine,Inspect cervical spine,MSK Cervical Spine,Expose neck as appropriate,Inspect cervical spine,"Set up or position the patient: Expose neck as appropriate. Perform the maneuver: Inspect cervical spine. Assess and document: Deformity, asymmetry, swelling.","Deformity, asymmetry, swelling",Screens cervical spine appearance,Cervical spine inspection,Normal / Deformity / Asymmetric / Swelling,Neck pain; trauma; radiculopathy,msk_spine_cervical_spine_inspect_cervical_spine
MSK,Spine,Cervical spine,Palpate cervical spine,MSK Cervical Spine,Relax neck,Palpate cervical vertebrae and paravertebral muscles on skin,Set up or position the patient: Relax neck. Perform the maneuver: Palpate cervical vertebrae and paravertebral muscles on skin. Assess and document: Midline or paraspinal tenderness.,Midline or paraspinal tenderness,Screens cervical tenderness,Cervical spine palpation,Nontender / Midline tender / Paraspinal tender / Spasm,Neck pain; trauma; radiculopathy,msk_spine_cervical_spine_palpate_cervical_spine
MSK,Spine,Cervical spine,Cervical flexion,MSK Cervical ROM,Chin to chest,Observe cervical flexion,Set up or position the patient: Chin to chest. Perform the maneuver: Observe cervical flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens cervical flexion,Cervical flexion,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_flexion
MSK,Spine,Cervical spine,Cervical extension,MSK Cervical ROM,Look toward ceiling,Observe cervical extension,Set up or position the patient: Look toward ceiling. Perform the maneuver: Observe cervical extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens cervical extension,Cervical extension,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_extension
MSK,Spine,Cervical spine,Cervical rotation,MSK Cervical ROM,Turn head left and right,Observe cervical rotation,Set up or position the patient: Turn head left and right. Perform the maneuver: Observe cervical rotation. Assess and document: Limited motion or pain.,Limited motion or pain,Screens cervical rotation,Cervical rotation,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_rotation
MSK,Spine,Cervical spine,Cervical lateral bending,MSK Cervical ROM,Bring ear toward each shoulder,Observe lateral bending,Set up or position the patient: Bring ear toward each shoulder. Perform the maneuver: Observe lateral bending. Assess and document: Limited motion or pain.,Limited motion or pain,Screens cervical lateral bending,Cervical lateral bending,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_lateral_bending
MSK,Spine,Thoracolumbar spine,Inspect thoracolumbar spine,MSK Thoracolumbar Spine,Stand up as able,Inspect thoracolumbar spine,"Set up or position the patient: Stand up as able. Perform the maneuver: Inspect thoracolumbar spine. Assess and document: Scoliosis, deformity, asymmetry.","Scoliosis, deformity, asymmetry",Screens back appearance,Thoracolumbar inspection,Normal / Deformity / Asymmetric / Unable,Back pain; posture; trauma,msk_spine_thoracolumbar_spine_inspect_thoracolumbar_spine
MSK,Spine,Thoracolumbar spine,Palpate thoracolumbar spine,MSK Thoracolumbar Spine,Stand or sit as able,Palpate vertebrae and paravertebral muscles on skin,Set up or position the patient: Stand or sit as able. Perform the maneuver: Palpate vertebrae and paravertebral muscles on skin. Assess and document: Midline/paraspinal tenderness or spasm.,Midline/paraspinal tenderness or spasm,Screens back tenderness,Thoracolumbar palpation,Nontender / Midline tender / Paraspinal tender / Spasm,Back pain; trauma; radiculopathy,msk_spine_thoracolumbar_spine_palpate_thoracolumbar_spine
MSK,Spine,Thoracolumbar spine,Thoracolumbar flexion,MSK Thoracolumbar ROM,Lean forward and attempt to touch toes,Observe flexion,Set up or position the patient: Lean forward and attempt to touch toes. Perform the maneuver: Observe flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens thoracolumbar flexion,Thoracolumbar flexion,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_flexion
MSK,Spine,Thoracolumbar spine,Thoracolumbar extension,MSK Thoracolumbar ROM,Bend backward,Observe extension,Set up or position the patient: Bend backward. Perform the maneuver: Observe extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens thoracolumbar extension,Thoracolumbar extension,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_extension
MSK,Spine,Thoracolumbar spine,Thoracolumbar rotation,MSK Thoracolumbar ROM,Rotate torso left and right while hips stabilized,Stabilize hips; observe rotation,Set up or position the patient: Rotate torso left and right while hips stabilized. Perform the maneuver: Stabilize hips; observe rotation. Assess and document: Limited motion or pain.,Limited motion or pain,Screens thoracolumbar rotation,Thoracolumbar rotation,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_rotation
MSK,Spine,Thoracolumbar spine,Thoracolumbar lateral bending,MSK Thoracolumbar ROM,"Bend torso laterally, hand toward each foot",Observe lateral bending,"Set up or position the patient: Bend torso laterally, hand toward each foot. Perform the maneuver: Observe lateral bending. Assess and document: Limited motion or pain.",Limited motion or pain,Screens thoracolumbar lateral bending,Thoracolumbar lateral bending,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_lateral_bending
MSK,Advanced Maneuvers,Shoulder,Empty can test,MSK Advanced Shoulder,Abduct arm to 90 degrees in scapular plane; internally rotate thumb down; resist downward pressure,Apply downward resistance,Set up or position the patient: Abduct arm to 90 degrees in scapular plane; internally rotate thumb down; resist downward pressure. Perform the maneuver: Apply downward resistance. Assess and document: Pain or sudden drop.,Pain or sudden drop,Tests shoulder impingement/supraspinatus,Empty can test,Negative / Pain / Weakness or drop / Unable,Shoulder pain; rotator cuff/impingement concern,msk_advanced_maneuvers_shoulder_empty_can_test
MSK,Advanced Maneuvers,Shoulder,Hawkins test,MSK Advanced Shoulder,Arm abducted to 90 degrees with elbow flexed to 90 degrees,Internally rotate forearm downward while holding mid upper arm for stability,Set up or position the patient: Arm abducted to 90 degrees with elbow flexed to 90 degrees. Perform the maneuver: Internally rotate forearm downward while holding mid upper arm for stability. Assess and document: Pain.,Pain,Tests shoulder impingement,Hawkins test,Negative / Positive / Unable,Shoulder impingement concern,msk_advanced_maneuvers_shoulder_hawkins_test
MSK,Advanced Maneuvers,Shoulder,Yergason test,MSK Advanced Shoulder,"Elbow flexed 90 degrees, forearm pronated; supinate against resistance",Resist supination,"Set up or position the patient: Elbow flexed 90 degrees, forearm pronated; supinate against resistance. Perform the maneuver: Resist supination. Assess and document: Pain over biceps tendon.",Pain over biceps tendon,Tests bicipital tendinitis,Yergason test,Negative / Positive / Unable,Anterior shoulder pain; biceps tendon concern,msk_advanced_maneuvers_shoulder_yergason_test
